ID,IAU-EN,ENGLISH,IAU-ITA,ITALIANO
Vol,Volans,Flying\nFish,Volans,Pesce\nVolante
.Volw1,wing,wing,ala ,ala
.Volw2,wing,wing,ala,ala
Dor,Dorado,Golden\nFish,Dorado,Pesce\nDorato
Col,Columba,Dove,Columba,Colomba
.Colh,head,head,testa,testa
.Colt,tail,tail,coda,coda
.Colw,wing,wing,ala,ala
Hyi,Hydrus,Water\nsnake,Hydrus,Serpente\nmarino
Pic,Pictor,Painter,Pictor,Pittore
Ret,Reticulum,Net,Reticulum,Rete
Hor,Horologium,Pendulum\nclock,Horologium,Orologio
For,Fornax,Furnace,Fornax,Fornace
Cen,Centaurus,Centaur,Centaurus,Centauro
.Cenh,head,head,testa,testa
.Cena1,arm,arm,braccio,braccio
.Cena2,arm,arm,braccio,braccio
.Cenb,body,body,corpo,corpo
.Cenl1,front legs,front legs,zampe\nanteriori,zampe\nanteriori
.Cenl2,hind legs,hind legs,zampe\nposteriori,zampe\nposteriori
Cru,Crux,Cross,Crux,Croce
Pav,Pavo,Peacock,Pavo,Pavone
TrA,Triangulum\nAustrale,Southern\nTriangle,Triangulum\nAustrale,Triangolo\nAustrale
Lup,Lupus,Wolf,Lupus,Lupo
.Lupt,tail,tail,coda,coda
.Lupe,ears,ears,orecchie,orecchie
Mus,Musca,Fly,Musca,Mosca
Oct,Octans,Octant,Octans,Ottante
Cir,Circinus,Compass,Circinus,Compasso
Nor,Norma,Rule,Norma,Regolo
Aps,Apus,Bee,Apus,Ape
Cha,Chamaeleon,Chameleon,Chamaeleon,Camaleonte
.Chae,eyes,eyes,occhi,occhi
Tuc,Tucana,Toucan,Tucana,Tucano
Ind,Indus,The indian,Indus,L'indiano
Tel,Telescopium,Telescope,Telescopium,Telescopio
Ara,Ara,Altar,Ara,Altare
Mic,Microscopium,Microscope,Microscopium,Microscopio
Cae,Caelum,Chisel,Caelum,Scalpello
Men,Mensa,Table,Mensa,Tavolo
Sex,Sextans,Sextant,Sextans,Sestante
BigD,Big Dipper,Big Dipper,Grande\nCarro,Grande\nCarro
VirD,Virgin's\nDiamond,Virgin's\nDiamond,Diamante della\n vergine,Diamante della\n vergine
GSq,Great\nSquare,Great\nSquare,Grande\nquadrato,Grande\nquadrato
GHx,Great\nHexagon,Great\nHexagon,Grande\nesagono,Grande\nesagono
SerCd,Serpent's\ntail,Serpent's\ntail,coda del\nserpente,coda del\nserpente
SerCp,Serpent's\nhead,Serpent's\nhead,testa del\nserpente,testa del\nserpente
SumT,Summer\nTriangle,Summer\nTriangle,Triangolo\nEstivo,Triangolo\nEstivo
CruF,False\nCross,False\nCross,Finta\nCroce,Finta\nCroce
HR01,,,,
HR02,,,,
HR03,,,,
HR04,,,,
HR05,,,,
HR06,,,,
HR07,,,,
HR08,,,,
HR09,,,,
HR10,,,,
HR11,,,,
HR12,,,,
HR13,,,,
HR14,,,,
7588,Achernar,Achernar,Achernar,Achernar
8102,Tau Ceti,Tau Ceti,Tau Ceti,Tau Ceti
9487,Knot,Knot,Knot,Knot
10826,Mira,Mira,Mira,Mira
11767,Pole Star,Pole Star,Pole Star,Pole Star
14576,Algol,Algol,Algol,Algol
17702,Pleiades,Pleiades,Pleiades,Pleiades
21421,Aldebaran,Aldebaran,Aldebaran,Aldebaran
24436,Rigel,Rigel,Rigel,Rigel
24608,Capella,Capella,Capella,Capella
27989,Betelgeuse,Betelgeuse,Betelgeuse,Betelgeuse
30438,Canopus,Canopus,Canopus,Canopo
32349,Sirius,Sirius,Sirius,Sirio
36850,Castor,Castor,Castor,Castor
37279,Procyon,Procyon,Procyon,Procyon
37826,Pollux,Pollux,Pollux,Pollux
46390,Alphard,Alphard,Alphard,Alphard
49669,Regulus,Regulus,Regulus,Regolo
57632,Denebola,Denebola,Denebola,Denebola
60718,Acrux,Acrux,Acrux,Acrux
63125,Cor Caroli,Cor Caroli,Cor Caroli,Cor Caroli
65378,Mizar,Mizar,Mizar,Mizar
65474,Spica,Spica,Spica,Spica
65477,Alcor,Alcor,Alcor,Alcor
68702,Beta Centauri,Beta Centauri,Beta Centauri,Beta Centauri
68756,Thuban,Thuban,Thuban,Thuban
69673,Arcturus,Arcturus,Arcturus,Arcturus
71683,Alpha Centauri,Alpha Centauri,Alpha Centauri,Alpha Centauri
72607,Kochab,Kochab,Kochab,Kochab
76267,Gemma,Gemma,Gemma,Gemma
80763,Antares,Antares,Antares,Antares
91262,Vega,Vega,Vega,Vega
95947,Albireo,Albireo,Albireo,Albireo
97649,Altair,Altair,Altair,Altair
102098,Deneb,Deneb,Deneb,Deneb
113368,Fomalhaut,Fomalhaut,Fomalhaut,Fomalhaut
