hip,ra,dec,magnitude,B-V
402,1.2349583333333334,64.78141666666667,8.15,0.475
403,1.2372083333333332,-18.1785,8.97,0.674
405,1.2395,51.180638888888886,8.15,1.201
404,1.239625,45.673944444444444,7.47,0.55
406,1.2439166666666668,26.72525,8.63,1.57
407,1.2442916666666668,-70.21219444444445,8.13,0.71
408,1.2450416666666666,57.46875,8.23,0.986
409,1.2460833333333334,-70.49241666666667,8.41,0.461
410,1.2547083333333333,27.674805555555558,6.47,0.946
411,1.256625,33.36,9.83,1.54
412,1.2575416666666666,66.51677777777778,8.64,1.3
413,1.2603333333333333,-36.015277777777776,7.73,0.537
414,1.26225,-59.82811111111111,8.64,0.889
415,1.2637916666666666,9.280027777777779,8.94,0.415
416,1.2644166666666667,1.0378333333333334,8.84,0.759
417,1.2658333333333334,-0.5029166666666667,6.32,1.099
418,1.2755416666666666,61.31397222222222,5.8,-0.067
419,1.2787083333333333,-42.56780555555556,8.97,0.86
420,1.2816666666666667,-52.15141666666666,7.53,0.577
422,1.28675,67.84002777777778,7.41,1.288
423,1.2885833333333334,30.32911111111111,7.8,0.437
425,1.2904583333333333,-62.84527777777778,8.14,0.593
424,1.29075,45.229083333333335,6.71,0.068
427,1.2914583333333334,-43.850833333333334,8.73,1.124
426,1.29175,30.331305555555556,9.37,0.51
429,1.2923333333333333,2.3973055555555556,8.69,0.644
428,1.2923333333333333,45.786944444444444,9.95,1.472
430,1.2929583333333334,-32.4685,7.1,1.128
431,1.302,36.30369444444444,8.09,0.496
432,1.3041666666666667,35.571111111111115,6.88,0.174
433,1.3119166666666666,3.007388888888889,9.48,1.037
434,1.3135,-27.27161111111111,9.04,0.692
435,1.3135833333333333,-49.14222222222222,9.3,0.538
436,1.3244583333333333,-67.83122222222222,8.49,1.076
437,1.3245,48.47719444444444,8.3,0.998
438,1.326875,-1.794111111111111,7.95,0.991
440,1.3327499999999999,68.88441666666667,7.08,-0.006
441,1.3329583333333332,-38.85722222222223,6.93,0.94
442,1.3334583333333334,-21.315305555555558,8.38,-0.06
443,1.3339583333333334,-5.707833333333333,4.61,1.029
439,1.3345416666666667,-37.35169444444445,8.56,1.462
444,1.3365833333333332,-59.814499999999995,8.78,1.156
445,1.340125,-56.95561111111111,7.42,0.191
447,1.3419166666666666,8.787944444444443,8.26,1.052
446,1.3422916666666667,-79.25391666666667,7.71,1.093
448,1.3427083333333334,3.6061111111111113,6.91,1.12
449,1.34475,-33.49941666666667,9.16,0.782
450,1.3499583333333334,28.543750000000003,8.99,1.199
451,1.3511666666666666,16.329083333333333,8.63,0.46
452,1.3556666666666666,21.569388888888888,9.9,0.599
453,1.356125,-3.8515833333333336,7.59,1.045
454,1.3600416666666666,-14.422083333333333,7.39,0.99
456,1.3654166666666667,-37.302527777777776,7.78,1.123
457,1.3667916666666666,-42.887388888888886,7.47,1.62
458,1.367625,-7.665333333333334,6.97,1.444
459,1.368125,-61.22566666666667,8.82,0.666
460,1.36975,22.224666666666664,9.13,0.735
461,1.3710833333333334,34.10566666666667,7.86,0.494
462,1.3796249999999999,-9.617305555555555,7.13,0.446
463,1.38325,-35.12972222222222,9.45,0.995
464,1.383875,-31.96763888888889,12.04,0.501
465,1.3909166666666666,76.28583333333333,8.78,1.249
466,1.3954583333333332,53.17169444444444,7.23,1.174
467,1.3964166666666666,-47.56930555555556,9.73,0.725
468,1.3989583333333333,-61.309888888888885,7.36,0.993
469,1.4010416666666667,-51.260444444444445,7.36,1.444
470,1.4039583333333334,43.401444444444444,8.47,-0.18
471,1.4119166666666667,-58.28952777777778,9.37,1.537
472,1.4155,55.70988888888889,6.99,1.187
473,1.4178333333333333,45.812444444444445,8.2,1.41
474,1.4202083333333333,44.468694444444445,8.36,0.247
475,1.4233333333333333,58.31366666666666,8.22,0.636
476,1.42475,13.396277777777778,5.55,0.901
477,1.4289166666666666,-29.960638888888887,9.91,0.353
478,1.4292916666666666,-22.509777777777778,9.67,0.524
480,1.4301666666666666,-15.365499999999999,8.6,1.1
479,1.4302083333333333,25.615166666666667,10.07,0.923
481,1.4335833333333334,-36.778444444444446,10.15,0.677
482,1.4350416666666668,17.840333333333334,7.75,0.414
483,1.4390416666666668,81.07147222222221,9.21,0.097
484,1.4417083333333334,-19.669805555555556,9.66,0.787
485,1.4477916666666666,47.08730555555556,8.47,0.045
486,1.4570416666666666,-52.82011111111112,9.37,0.507
487,1.4624166666666667,78.73841666666667,9.44,0.617
488,1.4625833333333333,-68.55127777777777,9.99,0.646
489,1.466125,2.764638888888889,10.38,0.782
490,1.468625,-41.75288888888889,7.51,0.595
491,1.4699583333333333,12.527444444444443,8.91,1.19
493,1.4785,18.23536111111111,7.45,0.596
492,1.4785416666666666,-14.432722222222221,9.57,0.51
494,1.4797083333333334,-68.81163888888888,8.99,0.585
495,1.4815,18.07622222222222,8.58,0.92
496,1.4862916666666668,24.569055555555554,6.9,1.564
497,1.4877083333333334,49.62236111111111,7.55,0.3
498,1.4927916666666667,44.73938888888889,7.93,0.239
499,1.4956666666666667,-54.64058333333333,9.71,0.915
500,1.500125,-48.67872222222222,9.57,1.812
501,1.5005416666666667,-39.13752777777778,8.55,1.357
502,1.50225,28.27697222222222,6.62,1.531
503,1.504375,16.452083333333334,7.89,0.93
504,1.513375,24.916638888888887,7.51,1.112
505,1.514125,63.67966666666666,7.36,0.126
506,1.514625,53.276916666666665,8.66,-0.039
507,1.517375,-84.09819444444445,8.51,1.576
508,1.51775,40.418527777777776,6.65,0.912
509,1.5216666666666667,-31.444333333333333,9.67,0.633
510,1.5334166666666667,9.714972222222222,7.8,0.501
511,1.5335,0.12144444444444445,8.21,1.108
512,1.53775,-29.15138888888889,7.9,-0.03
513,1.5474583333333334,87.8893888888889,8.94,1.0
514,1.5489166666666667,-23.538555555555558,9.82,0.418
515,1.5548333333333333,-1.8870555555555555,8.69,0.509
516,1.559125,-32.81636111111111,8.57,1.612
517,1.5637916666666667,-55.498694444444446,8.89,0.476
518,1.56475,58.43669444444444,5.98,0.687
519,1.57,-64.24052777777779,7.92,0.459
520,1.5705416666666667,-10.778472222222222,7.6,1.539
521,1.57775,-1.2380277777777777,8.22,1.22
522,1.57775,-49.07508333333334,5.7,0.519
523,1.5787499999999999,-65.83919444444444,12.17,1.55
524,1.583,-12.017194444444446,8.75,0.487
525,1.5839166666666666,40.89872222222222,6.93,1.086
526,1.5840833333333333,60.45711111111111,7.97,0.256
527,1.5865416666666667,68.63611111111112,8.06,1.431
528,1.5909166666666668,-24.602555555555558,10.13,0.593
529,1.604,-18.03825,7.31,0.402
530,1.6081666666666667,42.75275,8.35,0.624
531,1.6105416666666668,64.19616666666667,5.57,-0.023
532,1.6119166666666667,-74.40111111111112,9.85,0.526
533,1.612875,-16.73761111111111,9.16,1.045
534,1.614625,-52.933138888888884,9.03,1.349
535,1.6184583333333333,-43.627722222222225,10.07,0.59
536,1.6219583333333334,27.090138888888887,9.76,1.39
537,1.6305,-21.501277777777776,9.35,0.41
538,1.6320000000000001,5.8253055555555555,10.95,1.008
539,1.6415,43.78227777777778,8.87,0.426
