ID,COMMON,ENGLISH,ITALIANO
Ara,Ara,Altar,Altare
Mic,Microscopium,Microscope,Microscopio
Cae,Caelum,Chisel,Scalpello
Men,Mensa,Table,Tavolo
Sex,Sextans,Sextant,Sestante
BigD,Big Dipper,Big Dipper,Grande\nCarro
VirD,Virgin's\nDiamond,Virgin's\nDiamond,Diamante della\n vergine
GSq,Great\nSquare,Great\nSquare,Grande\nquadrato
GHx,Great\nHexagon,Great\nHexagon,Grande\nesagono
SerCd,Serpent's\ntail,Serpent's\ntail,coda del\nserpente
SerCp,Serpent's\nhead,Serpent's\nhead,testa del\nserpente
SumT,Summer\nTriangle,Summer\nTriangle,Triangolo\nEstivo
CruF,False\nCross,False\nCross,Finta\nCroce
HR01,,,
HR02,,,
HR03,,,
HR04,,,
HR05,,,
HR06,,,
HR07,,,
HR08,,,
HR09,,,
HR10,,,
HR11,,,
HR12,,,
HR13,,,
HR14,,,
7588,Achernar,Achernar,Achernar
8102,Tau Ceti,Tau Ceti,Tau Ceti
9487,Knot,Knot,Knot
10826,Mira,Mira,Mira
11767,Pole Star,Pole Star,Pole Star
14576,Algol,Algol,Algol
17702,Pleiades,Pleiades,Pleiades
21421,Aldebaran,Aldebaran,Aldebaran
24436,Rigel,Rigel,Rigel
24608,Capella,Capella,Capella
27989,Betelgeuse,Betelgeuse,Betelgeuse
30438,Canopus,Canopus,Canopo
32349,Sirius,Sirius,Sirio
36850,Castor,Castor,Castor
37279,Procyon,Procyon,Procyon
37826,Pollux,Pollux,Pollux
46390,Alphard,Alphard,Alphard
49669,Regulus,Regulus,Regolo
57632,Denebola,Denebola,Denebola
60718,Acrux,Acrux,Acrux
63125,Cor Caroli,Cor Caroli,Cor Caroli
65378,Mizar,Mizar,Mizar
65474,Spica,Spica,Spica
65477,Alcor,Alcor,Alcor
68702,Beta Centauri,Beta Centauri,Beta Centauri
68756,Thuban,Thuban,Thuban
69673,Arcturus,Arcturus,Arcturus
71683,Alpha Centauri,Alpha Centauri,Alpha Centauri
72607,Kochab,Kochab,Kochab
76267,Gemma,Gemma,Gemma
80763,Antares,Antares,Antares
91262,Vega,Vega,Vega
95947,Albireo,Albireo,Albireo
97649,Altair,Altair,Altair
102098,Deneb,Deneb,Deneb
113368,Fomalhaut,Fomalhaut,Fomalhaut
